Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,provincia_id,año_id
2022,4,Buenos Aires,4788466,61990.0,4794665,0,0
2022,4,Capital Federal,1549781,21450.0,1551926,1,0
2022,4,Catamarca,70908,10.0,70909,2,0
2022,4,Chaco,143658,50.0,143663,3,0
2022,4,Chubut,167855,9040.0,168759,4,0
2022,4,Córdoba,1049592,680.0,1049660,5,0
2022,4,Corrientes,155449,40.0,155453,6,0
2022,4,Entre Ríos,270952,220.0,270974,7,0
2022,4,Formosa,61840,0.0,61840,8,0
2022,4,Jujuy,118218,0.0,118218,9,0
2022,4,La Pampa,113993,1710.0,114164,10,0
2022,4,La Rioja,86258,40.0,86262,11,0
2022,4,Mendoza,291327,7770.0,292104,12,0
2022,4,Misiones,186269,0.0,186269,13,0
2022,4,Neuquén,159712,4680.0,160180,14,0
2022,4,Río Negro,161544,5480.0,162092,15,0
2022,4,Salta,205855,50.0,205860,16,0
2022,4,San Juan,103545,2810.0,103826,17,0
2022,4,San Luis,135028,1920.0,135220,18,0
2022,4,Santa Cruz,50005,1980.0,50203,19,0
2022,4,Santa Fe,887581,1100.0,887691,20,0
2022,4,Santiago Del Estero,119492,20.0,119494,21,0
2022,4,Tierra Del Fuego,54948,3120.0,55260,22,0
2022,4,Tucumán,263392,300.0,263422,23,0
2022,3,Buenos Aires,4715469,61990.0,4721668,0,0
2022,3,Capital Federal,1545534,21450.0,1547679,1,0
2022,3,Catamarca,70292,10.0,70293,2,0
2022,3,Chaco,144141,50.0,144146,3,0
2022,3,Chubut,164874,9040.0,165778,4,0
2022,3,Córdoba,1038600,680.0,1038668,5,0
2022,3,Corrientes,144842,40.0,144846,6,0
2022,3,Entre Ríos,268937,220.0,268959,7,0
2022,3,Formosa,68537,10.0,68538,8,0
2022,3,Jujuy,118823,0.0,118823,9,0
2022,3,La Pampa,115921,1710.0,116092,10,0
2022,3,La Rioja,86860,40.0,86864,11,0
2022,3,Mendoza,288746,7770.0,289523,12,0
2022,3,Misiones,182157,0.0,182157,13,0
2022,3,Neuquén,162693,4680.0,163161,14,0
2022,3,Río Negro,160010,5480.0,160558,15,0
2022,3,Salta,204536,50.0,204541,16,0
2022,3,San Juan,103118,2810.0,103399,17,0
2022,3,San Luis,121888,1820.0,122070,18,0
2022,3,Santa Cruz,49312,1980.0,49510,19,0
2022,3,Santa Fe,887700,1100.0,887810,20,0
2022,3,Santiago Del Estero,119030,20.0,119032,21,0
2022,3,Tierra Del Fuego,53584,3120.0,53896,22,0
2022,3,Tucumán,263087,300.0,263117,23,0
2022,2,Buenos Aires,4660984,61990.0,4667183,0,0
2022,2,Capital Federal,1534626,21450.0,1536771,1,0
2022,2,Catamarca,67007,10.0,67008,2,0
2022,2,Chaco,143559,50.0,143564,3,0
2022,2,Chubut,161901,9040.0,162805,4,0
2022,2,Córdoba,1026367,680.0,1026435,5,0
2022,2,Corrientes,144993,40.0,144997,6,0
2022,2,Entre Ríos,269330,220.0,269352,7,0
2022,2,Formosa,67881,0.0,67881,8,0
2022,2,Jujuy,115314,0.0,115314,9,0
2022,2,La Pampa,111356,1710.0,111527,10,0
2022,2,La Rioja,86026,40.0,86030,11,0
2022,2,Mendoza,278785,7770.0,279562,12,0
2022,2,Misiones,178813,0.0,178813,13,0
2022,2,Neuquén,161500,4680.0,161968,14,0
2022,2,Río Negro,159216,5480.0,159764,15,0
2022,2,Salta,203172,50.0,203177,16,0
2022,2,San Juan,100126,2810.0,100407,17,0
2022,2,San Luis,121559,1820.0,121741,18,0
2022,2,Santa Cruz,48987,1980.0,49185,19,0
2022,2,Santa Fe,878749,1100.0,878859,20,0
2022,2,Santiago Del Estero,118042,20.0,118044,21,0
2022,2,Tierra Del Fuego,53458,3120.0,53770,22,0
2022,2,Tucumán,254497,300.0,254527,23,0
2022,1,Buenos Aires,4549131,62930.0,4555424,0,0
2022,1,Capital Federal,1415378,21630.0,1417541,1,0
2022,1,Catamarca,62377,10.0,62378,2,0
2022,1,Chaco,144114,50.0,144119,3,0
2022,1,Chubut,170701,9270.0,171628,4,0
2022,1,Córdoba,1003729,740.0,1003803,5,0
2022,1,Corrientes,142574,40.0,142578,6,0
2022,1,Entre Ríos,267904,220.0,267926,7,0
2022,1,Formosa,54548,0.0,54548,8,0
2022,1,Jujuy,116509,0.0,116509,9,0
2022,1,La Pampa,109560,1720.0,109732,10,0
2022,1,La Rioja,84299,40.0,84303,11,0
