Año,Trimestre,Provincia,Accesos por cada 100 hab,provincia_id,año_id
2022,4,Buenos Aires,26,0,0
2022,4,Capital Federal,50,1,0
2022,4,Catamarca,16,2,0
2022,4,Chaco,11,3,0
2022,4,Chubut,26,4,0
2022,4,Córdoba,27,5,0
2022,4,Corrientes,13,6,0
2022,4,Entre Ríos,19,7,0
2022,4,Formosa,10,8,0
2022,4,Jujuy,14,9,0
2022,4,La Pampa,31,10,0
2022,4,La Rioja,21,11,0
2022,4,Mendoza,14,12,0
2022,4,Misiones,14,13,0
2022,4,Neuquén,23,14,0
2022,4,Río Negro,21,15,0
2022,4,Salta,14,16,0
2022,4,San Juan,12,17,0
2022,4,San Luis,25,18,0
2022,4,Santa Cruz,12,19,0
2022,4,Santa Fe,24,20,0
2022,4,Santiago Del Estero,11,21,0
2022,4,Tierra Del Fuego,30,22,0
2022,4,Tucumán,15,23,0
2022,3,Buenos Aires,26,0,0
2022,3,Capital Federal,50,1,0
2022,3,Catamarca,16,2,0
2022,3,Chaco,11,3,0
2022,3,Chubut,25,4,0
2022,3,Córdoba,27,5,0
2022,3,Corrientes,12,6,0
2022,3,Entre Ríos,19,7,0
2022,3,Formosa,11,8,0
2022,3,Jujuy,15,9,0
2022,3,La Pampa,31,10,0
2022,3,La Rioja,21,11,0
2022,3,Mendoza,14,12,0
2022,3,Misiones,14,13,0
2022,3,Neuquén,23,14,0
2022,3,Río Negro,20,15,0
2022,3,Salta,13,16,0
2022,3,San Juan,12,17,0
2022,3,San Luis,23,18,0
2022,3,Santa Cruz,12,19,0
2022,3,Santa Fe,24,20,0
2022,3,Santiago Del Estero,11,21,0
2022,3,Tierra Del Fuego,29,22,0
2022,3,Tucumán,15,23,0
2022,2,Buenos Aires,26,0,0
2022,2,Capital Federal,49,1,0
2022,2,Catamarca,15,2,0
2022,2,Chaco,11,3,0
2022,2,Chubut,25,4,0
2022,2,Córdoba,26,5,0
2022,2,Corrientes,12,6,0
2022,2,Entre Ríos,19,7,0
2022,2,Formosa,11,8,0
2022,2,Jujuy,14,9,0
2022,2,La Pampa,30,10,0
2022,2,La Rioja,21,11,0
2022,2,Mendoza,13,12,0
2022,2,Misiones,13,13,0
2022,2,Neuquén,23,14,0
2022,2,Río Negro,20,15,0
2022,2,Salta,13,16,0
2022,2,San Juan,12,17,0
2022,2,San Luis,23,18,0
2022,2,Santa Cruz,12,19,0
2022,2,Santa Fe,24,20,0
2022,2,Santiago Del Estero,11,21,0
2022,2,Tierra Del Fuego,29,22,0
2022,2,Tucumán,14,23,0
2022,1,Buenos Aires,25,0,0
2022,1,Capital Federal,46,1,0
2022,1,Catamarca,14,2,0
2022,1,Chaco,11,3,0
2022,1,Chubut,26,4,0
2022,1,Córdoba,26,5,0
2022,1,Corrientes,12,6,0
2022,1,Entre Ríos,19,7,0
2022,1,Formosa,8,8,0
2022,1,Jujuy,14,9,0
2022,1,La Pampa,30,10,0
2022,1,La Rioja,20,11,0
2022,1,Mendoza,13,12,0
2022,1,Misiones,13,13,0
2022,1,Neuquén,22,14,0
2022,1,Río Negro,20,15,0
2022,1,Salta,13,16,0
2022,1,San Juan,11,17,0
2022,1,San Luis,23,18,0
2022,1,Santa Cruz,12,19,0
2022,1,Santa Fe,24,20,0
2022,1,Santiago Del Estero,11,21,0
2022,1,Tierra Del Fuego,29,22,0
2022,1,Tucumán,14,23,0
2021,4,Buenos Aires,25,0,1
2021,4,Capital Federal,45,1,1
2021,4,Catamarca,14,2,1
2021,4,Chaco,11,3,1
2021,4,Chubut,25,4,1
2021,4,Córdoba,25,5,1
2021,4,Corrientes,11,6,1
2021,4,Entre Ríos,18,7,1
2021,4,Formosa,8,8,1
2021,4,Jujuy,14,9,1
2021,4,La Pampa,29,10,1
2021,4,La Rioja,20,11,1
2021,4,Mendoza,13,12,1
2021,4,Misiones,13,13,1
2021,4,Neuquén,21,14,1
2021,4,Río Negro,20,15,1
2021,4,Salta,13,16,1
2021,4,San Juan,10,17,1
2021,4,San Luis,22,18,1
2021,4,Santa Cruz,12,19,1
2021,4,Santa Fe,24,20,1
2021,4,Santiago Del Estero,11,21,1
2021,4,Tierra Del Fuego,29,22,1
