Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2022,4,Buenos Aires,78.94,0,0
2022,4,Capital Federal,122.73,1,0
2022,4,Catamarca,65.77,2,0
2022,4,Chaco,43.62,3,0
2022,4,Chubut,85.57,4,0
2022,4,Córdoba,89.03,5,0
2022,4,Corrientes,51.64,6,0
2022,4,Entre Ríos,64.01,7,0
2022,4,Formosa,39.41,8,0
2022,4,Jujuy,58.46,9,0
2022,4,La Pampa,94.8,10,0
2022,4,La Rioja,79.86,11,0
2022,4,Mendoza,51.36,12,0
2022,4,Misiones,52.85,13,0
2022,4,Neuquén,78.67,14,0
2022,4,Río Negro,68.42,15,0
2022,4,Salta,57.96,16,0
2022,4,San Juan,50.88,17,0
2022,4,San Luis,90.27,18,0
2022,4,Santa Cruz,43.53,19,0
2022,4,Santa Fe,78.4,20,0
2022,4,Santiago Del Estero,48.05,21,0
2022,4,Tierra Del Fuego,101.44,22,0
2022,4,Tucumán,61.04,23,0
2022,3,Buenos Aires,78.11,0,0
2022,3,Capital Federal,122.28,1,0
2022,3,Catamarca,65.33,2,0
2022,3,Chaco,43.86,3,0
2022,3,Chubut,84.38,4,0
2022,3,Córdoba,88.31,5,0
2022,3,Corrientes,48.21,6,0
2022,3,Entre Ríos,63.67,7,0
2022,3,Formosa,43.76,8,0
2022,3,Jujuy,58.91,9,0
2022,3,La Pampa,96.59,10,0
2022,3,La Rioja,80.66,11,0
2022,3,Mendoza,51.03,12,0
2022,3,Misiones,51.82,13,0
2022,3,Neuquén,80.37,14,0
2022,3,Río Negro,67.98,15,0
2022,3,Salta,57.76,16,0
2022,3,San Juan,50.8,17,0
2022,3,San Luis,81.74,18,0
2022,3,Santa Cruz,43.19,19,0
2022,3,Santa Fe,78.55,20,0
2022,3,Santiago Del Estero,47.98,21,0
2022,3,Tierra Del Fuego,99.51,22,0
2022,3,Tucumán,61.14,23,0
2022,2,Buenos Aires,77.58,0,0
2022,2,Capital Federal,121.31,1,0
2022,2,Catamarca,62.4,2,0
2022,2,Chaco,43.79,3,0
2022,2,Chubut,83.19,4,0
2022,2,Córdoba,87.48,5,0
2022,2,Corrientes,48.35,6,0
2022,2,Entre Ríos,63.9,7,0
2022,2,Formosa,43.42,8,0
2022,2,Jujuy,57.32,9,0
2022,2,La Pampa,92.98,10,0
2022,2,La Rioja,80.14,11,0
2022,2,Mendoza,49.39,12,0
2022,2,Misiones,51.0,13,0
2022,2,Neuquén,80.02,14,0
2022,2,Río Negro,67.85,15,0
2022,2,Salta,57.54,16,0
2022,2,San Juan,49.46,17,0
2022,2,San Luis,81.76,18,0
2022,2,Santa Cruz,43.15,19,0
2022,2,Santa Fe,77.9,20,0
2022,2,Santiago Del Estero,47.7,21,0
2022,2,Tierra Del Fuego,99.86,22,0
2022,2,Tucumán,59.31,23,0
2022,1,Buenos Aires,76.08,0,0
2022,1,Capital Federal,111.8,1,0
2022,1,Catamarca,58.21,2,0
2022,1,Chaco,44.06,3,0
2022,1,Chubut,88.05,4,0
2022,1,Córdoba,85.76,5,0
2022,1,Corrientes,47.64,6,0
2022,1,Entre Ríos,63.7,7,0
2022,1,Formosa,34.96,8,0
2022,1,Jujuy,58.06,9,0
2022,1,La Pampa,91.66,10,0
2022,1,La Rioja,78.77,11,0
2022,1,Mendoza,48.74,12,0
2022,1,Misiones,49.04,13,0
2022,1,Neuquén,74.17,14,0
2022,1,Río Negro,67.04,15,0
2022,1,Salta,56.11,16,0
2022,1,San Juan,43.55,17,0
2022,1,San Luis,80.72,18,0
2022,1,Santa Cruz,43.34,19,0
2022,1,Santa Fe,77.3,20,0
2022,1,Santiago Del Estero,47.17,21,0
2022,1,Tierra Del Fuego,98.29,22,0
2022,1,Tucumán,57.39,23,0
2021,4,Buenos Aires,75.66,0,1
2021,4,Capital Federal,111.27,1,1
2021,4,Catamarca,55.25,2,1
2021,4,Chaco,44.05,3,1
