,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
0,2022,4,Buenos Aires,28934,23347,259866,28155,244555,9867,3760109,97634.0,4794665
1,2022,4,Capital Federal,5160,5096,31320,64653,36336,8116,1299117,106772.0,1551926
2,2022,4,Catamarca,710,3150,2716,5028,4638,3122,52739,228.0,70909
3,2022,4,Chaco,4610,7710,16067,17846,6704,3039,94866,3909.0,143663
4,2022,4,Chubut,1090,1614,46457,31007,34728,1577,19048,20026.0,168759
5,2022,4,Córdoba,990,9929,143686,108195,6312,20691,686330,1761.0,1049660
6,2022,4,Corrientes,670,3282,22647,24858,7025,377,85806,7998.0,155453
7,2022,4,Entre Ríos,1070,4722,45629,467,20927,22483,130406,0.0,270974
8,2022,4,Formosa,840,2450,22458,12391,6724,3100,18930,6980.0,61840
9,2022,4,Jujuy,580,1763,18652,1407,3643,3350,46910,0.0,118218
10,2022,4,La Pampa,680,1687,52618,10334,9167,4479,19783,16028.0,114164
11,2022,4,La Rioja,180,5950,2531,301,24435,5029,50644,0.0,86262
12,2022,4,Mendoza,1030,2954,35541,20355,35935,14909,161163,21144.0,292104
13,2022,4,Misiones,510,351,35622,21373,12196,3182,101745,859.0,186269
14,2022,4,Neuquén,1680,9940,38814,1396,13008,5739,85247,225.0,160180
15,2022,4,Río Negro,1110,1081,32053,13931,20442,7335,57495,29644.0,162092
16,2022,4,Salta,1140,1197,31530,71105,5036,1170,90014,6747.0,205860
17,2022,4,San Juan,240,2027,30069,11247,2044,8188,19991,1184.0,103826
18,2022,4,San Luis,600,6240,11785,24684,13981,78506,2227,3353.0,135220
19,2022,4,Santa Cruz,510,681,11616,11509,10374,3236,5559,1048.0,50203
20,2022,4,Santa Fe,4680,9374,115767,19442,73345,22899,453078,1834.0,887691
21,2022,4,Santiago Del Estero,1780,1267,26183,58136,17735,6610,14345,9890.0,119494
22,2022,4,Tierra Del Fuego,220,9020,11649,13634,21365,3612,1812,2264.0,55260
23,2022,4,Tucumán,390,1562,29996,35425,26369,1375,153538,15118.0,263422
24,2022,3,Buenos Aires,29985,27709,290315,297915,267044,12419,3618689,65821.0,4721668
25,2022,3,Capital Federal,5170,5742,34371,67829,51946,28692,1253105,105477.0,1547679
26,2022,3,Catamarca,710,3840,3107,5389,5099,3737,50298,2208.0,70293
27,2022,3,Chaco,4610,9870,16782,18938,8049,15828,79390,3711.0,144146
28,2022,3,Chubut,1090,1444,45707,3094,34682,15309,17563,20024.0,165778
29,2022,3,Córdoba,990,11312,153324,111615,70989,27112,650344,13873.0,1038668
30,2022,3,Corrientes,670,3865,23427,23948,7776,21706,56950,7107.0,144846
31,2022,3,Entre Ríos,1070,5549,47210,46855,18263,32021,102195,16759.0,268959
32,2022,3,Formosa,970,3070,23538,19545,6194,5640,17704,5890.0,68538
33,2022,3,Jujuy,580,1879,19135,15254,36083,5190,45895,0.0,118823
34,2022,3,La Pampa,680,1887,61540,9653,11592,5609,22731,3012.0,116092
35,2022,3,La Rioja,180,6890,2842,3375,24219,5331,50390,0.0,86864
36,2022,3,Mendoza,1030,2953,44232,21977,48201,17243,150043,4771.0,289523
37,2022,3,Misiones,510,3749,36628,20758,12676,19615,80330,835.0,182157
38,2022,3,Neuquén,1340,9910,38485,1408,92,67,78713,14858.0,163161
39,2022,3,Río Negro,1110,1221,32936,1786,27934,13629,42596,24271.0,160558
40,2022,3,Salta,1140,149,32923,71199,5662,1001,85661,6491.0,204541
41,2022,3,San Juan,240,2027,30324,11247,22157,678,19221,11619.0,103399
42,2022,3,San Luis,600,3070,6563,20813,12061,67438,13,14815.0,122070
43,2022,3,Santa Cruz,520,6841,12342,11313,11378,2333,4604,6470.0,49510
44,2022,3,Santa Fe,4680,11132,132709,198588,70897,57455,396352,20209.0,887810
45,2022,3,Santiago Del Estero,1780,1384,28357,58982,16087,9100,12342,7920.0,119032
46,2022,3,Tierra Del Fuego,220,8310,12002,14815,20102,1752,1021,3351.0,53896
47,2022,3,Tucumán,390,2047,32571,39018,25214,4348,159600,2800.0,263117
48,2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849.0,4667183
49,2022,2,Capital Federal,5170,598,36036,72434,55372,31571,1229254,105607.0,1536771
50,2022,2,Catamarca,710,4130,3678,6155,7165,3393,43926,2207.0,67008
51,2022,2,Chaco,4610,1047,17603,20109,8391,15974,76271,3708.0,143564
52,2022,2,Chubut,1090,1444,45804,31217,3429,14526,15394,20021.0,162805
53,2022,2,Córdoba,990,11971,160486,120485,71923,28645,619400,13426.0,1026435
54,2022,2,Corrientes,670,3937,24253,24842,8001,21719,55071,7107.0,144997
55,2022,2,Entre Ríos,1070,5656,48637,48557,18512,32355,98769,16759.0,269352
56,2022,2,Formosa,970,4070,23834,19706,633,5910,16326,5900.0,67881
57,2022,2,Jujuy,580,1829,19458,1579,37786,5490,37391,2453.0,115314
