,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,4,Buenos Aires,3260,30,10,1300,720,50
1,2022,4,Capital Federal,1390,10,1390,50,320,20
2,2022,4,Catamarca,90,110,470,10,20,710
3,2022,4,Chaco,250,610,470,80,30,1440
4,2022,4,Chubut,450,740,100,310,90,1690
5,2022,4,Córdoba,1520,4570,3670,620,110,10
6,2022,4,Corrientes,340,800,270,90,50,1550
7,2022,4,Entre Ríos,560,1360,410,260,130,2710
8,2022,4,Formosa,140,170,130,180,2270,620
9,2022,4,Jujuy,180,520,430,40,10,1180
10,2022,4,La Pampa,80,610,250,200,10,1140
11,2022,4,La Rioja,60,540,190,60,320,860
12,2022,4,Mendoza,380,780,1470,280,20,2920
13,2022,4,Misiones,330,870,470,110,80,1860
14,2022,4,Neuquén,290,730,320,240,40,1600
15,2022,4,Río Negro,340,480,440,160,190,1620
16,2022,4,Salta,370,970,530,120,70,2060
17,2022,4,San Juan,390,230,120,220,80,1040
18,2022,4,San Luis,60,430,30,820,5110,1350
19,2022,4,Santa Cruz,100,240,120,40,6620,500
20,2022,4,Santa Fe,1640,4120,2490,440,190,8880
21,2022,4,Santiago Del Estero,140,810,150,70,30,1190
22,2022,4,Tierra Del Fuego,130,410,4050,1570,6510,550
23,2022,4,Tucumán,690,210,1690,40,5270,2630
24,2022,3,Buenos Aires,3400,30,10,1270,700,50
25,2022,3,Capital Federal,1410,10,1290,60,320,20
26,2022,3,Catamarca,100,100,460,10,20,700
27,2022,3,Chaco,270,620,450,80,20,1440
28,2022,3,Chubut,450,720,100,300,90,1660
29,2022,3,Córdoba,1640,4650,3390,610,100,10
30,2022,3,Corrientes,370,770,190,70,50,1450
31,2022,3,Entre Ríos,600,1330,370,260,130,2690
32,2022,3,Formosa,140,260,110,170,2120,690
33,2022,3,Jujuy,190,530,400,40,20,1190
34,2022,3,La Pampa,80,600,240,200,40,1160
35,2022,3,La Rioja,70,540,200,60,310,870
36,2022,3,Mendoza,380,790,1430,280,30,2900
37,2022,3,Misiones,360,890,390,110,80,1820
38,2022,3,Neuquén,290,760,290,270,10,1630
39,2022,3,Río Negro,360,480,410,170,190,1610
40,2022,3,Salta,400,970,500,100,70,2050
41,2022,3,San Juan,390,230,120,220,80,1030
42,2022,3,San Luis,70,290,2480,710,150,1220
43,2022,3,Santa Cruz,100,240,110,40,5820,500
44,2022,3,Santa Fe,1840,4260,2150,430,200,8880
45,2022,3,Santiago Del Estero,150,810,130,70,30,1190
46,2022,3,Tierra Del Fuego,130,400,4030,1250,6510,540
47,2022,3,Tucumán,780,190,1620,40,5190,2630
48,2022,2,Buenos Aires,3510,30,10,1270,710,50
49,2022,2,Capital Federal,1450,10,1220,60,320,20
50,2022,2,Catamarca,120,90,420,10,20,670
51,2022,2,Chaco,300,610,420,80,20,1440
52,2022,2,Chubut,450,690,100,300,90,1630
53,2022,2,Córdoba,1790,4680,3090,610,100,10
54,2022,2,Corrientes,380,760,180,70,50,1450
55,2022,2,Entre Ríos,640,1310,360,260,130,2690
56,2022,2,Formosa,150,250,100,170,2120,680
57,2022,2,Jujuy,200,540,340,40,20,1150
58,2022,2,La Pampa,80,590,230,200,10,1120
59,2022,2,La Rioja,80,530,190,60,310,860
60,2022,2,Mendoza,380,780,1360,270,20,2800
61,2022,2,Misiones,370,890,340,110,80,1790
62,2022,2,Neuquén,300,750,290,270,10,1620
63,2022,2,Río Negro,360,470,410,170,190,1600
64,2022,2,Salta,430,960,470,100,70,2030
65,2022,2,San Juan,390,200,120,220,80,1000
66,2022,2,San Luis,70,290,2480,710,150,1220
67,2022,2,Santa Cruz,100,240,110,40,5790,490
68,2022,2,Santa Fe,1980,4280,1900,430,200,8790
69,2022,2,Santiago Del Estero,170,800,120,70,30,1180
70,2022,2,Tierra Del Fuego,130,400,4030,1250,6510,540
71,2022,2,Tucumán,860,150,1490,40,4870,2550
72,2022,1,Buenos Aires,3920,30,10,1260,670,50
73,2022,1,Capital Federal,1020,10,620,60,300,10
74,2022,1,Catamarca,140,160,290,10,20,620
75,2022,1,Chaco,320,650,370,80,20,1440
76,2022,1,Chubut,440,670,90,310,210,1720
77,2022,1,Córdoba,1960,5020,2360,610,100,10
78,2022,1,Corrientes,400,790,110,70,50,1430
79,2022,1,Entre Ríos,670,1390,230,260,130,2680
80,2022,1,Formosa,160,160,50,170,2020,550
81,2022,1,Jujuy,210,610,260,50,40,1170
82,2022,1,La Pampa,80,590,220,200,10,1100
83,2022,1,La Rioja,90,590,100,60,310,840
84,2022,1,Mendoza,490,740,1230,270,10,2750
85,2022,1,Misiones,390,920,250,80,80,1720
86,2022,1,Neuquén,280,730,240,230,7450,1500
87,2022,1,Río Negro,390,450,380,170,180,1570
88,2022,1,Salta,450,990,410,60,70,1980
89,2022,1,San Juan,340,140,110,210,80,880
90,2022,1,San Luis,80,110,310,720,290,1200
91,2022,1,Santa Cruz,110,230,110,40,4050,490
92,2022,1,Santa Fe,2130,4450,1470,450,210,8700
93,2022,1,Santiago Del Estero,180,880,10,60,30,1160
94,2022,1,Tierra Del Fuego,130,390,4160,1240,3400,530
95,2022,1,Tucumán,930,620,860,40,4870,2460
96,2021,4,Buenos Aires,4260,30,10,1270,730,50
97,2021,4,Capital Federal,1110,10,600,60,300,10
98,2021,4,Catamarca,160,140,250,20,20,590
99,2021,4,Chaco,360,630,350,80,20,1440
100,2021,4,Chubut,460,570,100,280,190,1600
101,2021,4,Córdoba,2120,4870,2170,610,90,9870
102,2021,4,Corrientes,430,710,100,70,50,1360
103,2021,4,Entre Ríos,700,1330,230,250,130,2650
104,2021,4,Formosa,170,150,50,160,1720,540
105,2021,4,Jujuy,220,610,240,30,40,1140
106,2021,4,La Pampa,80,580,200,190,10,1070
107,2021,4,La Rioja,100,570,90,70,310,830
108,2021,4,Mendoza,600,720,1100,250,20,2680
109,2021,4,Misiones,420,920,220,80,80,1710
110,2021,4,Neuquén,290,730,230,220,7460,1470
111,2021,4,Río Negro,420,440,320,170,180,1540
112,2021,4,Salta,470,1000,400,60,70,1990
113,2021,4,San Juan,360,130,110,110,80,800
114,2021,4,San Luis,80,110,300,710,290,1190
