,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,2022,4,Buenos Aires,5,60,5
1,2022,4,Capital Federal,2,20,2
2,2022,4,Catamarca,71,10,71
3,2022,4,Chaco,144,50,144
4,2022,4,Chubut,168,9040,169
5,2022,4,Córdoba,1,680,1
6,2022,4,Corrientes,155,40,155
7,2022,4,Entre Ríos,271,220,271
8,2022,4,Formosa,62,0,62
9,2022,4,Jujuy,118,0,118
10,2022,4,La Pampa,114,1710,114
11,2022,4,La Rioja,86,40,86
12,2022,4,Mendoza,291,7770,292
13,2022,4,Misiones,186,0,186
14,2022,4,Neuquén,160,4680,160
15,2022,4,Río Negro,162,5480,162
16,2022,4,Salta,206,50,206
17,2022,4,San Juan,104,2810,104
18,2022,4,San Luis,135,1920,135
19,2022,4,Santa Cruz,50,1980,50
20,2022,4,Santa Fe,888,1100,888
21,2022,4,Santiago Del Estero,119,20,119
22,2022,4,Tierra Del Fuego,55,3120,55
23,2022,4,Tucumán,263,300,263
24,2022,3,Buenos Aires,5,60,5
25,2022,3,Capital Federal,2,20,2
26,2022,3,Catamarca,70,10,70
27,2022,3,Chaco,144,50,144
28,2022,3,Chubut,165,9040,166
29,2022,3,Córdoba,1,680,1
30,2022,3,Corrientes,145,40,145
31,2022,3,Entre Ríos,269,220,269
32,2022,3,Formosa,69,10,69
33,2022,3,Jujuy,119,0,119
34,2022,3,La Pampa,116,1710,116
35,2022,3,La Rioja,87,40,87
36,2022,3,Mendoza,289,7770,290
37,2022,3,Misiones,182,0,182
38,2022,3,Neuquén,163,4680,163
39,2022,3,Río Negro,160,5480,161
40,2022,3,Salta,205,50,205
41,2022,3,San Juan,103,2810,103
42,2022,3,San Luis,122,1820,122
43,2022,3,Santa Cruz,49,1980,50
44,2022,3,Santa Fe,888,1100,888
45,2022,3,Santiago Del Estero,119,20,119
46,2022,3,Tierra Del Fuego,54,3120,54
47,2022,3,Tucumán,263,300,263
48,2022,2,Buenos Aires,5,60,5
49,2022,2,Capital Federal,2,20,2
50,2022,2,Catamarca,67,10,67
51,2022,2,Chaco,144,50,144
52,2022,2,Chubut,162,9040,163
53,2022,2,Córdoba,1,680,1
54,2022,2,Corrientes,145,40,145
55,2022,2,Entre Ríos,269,220,269
56,2022,2,Formosa,68,0,68
57,2022,2,Jujuy,115,0,115
58,2022,2,La Pampa,111,1710,112
59,2022,2,La Rioja,86,40,86
60,2022,2,Mendoza,279,7770,280
61,2022,2,Misiones,179,0,179
62,2022,2,Neuquén,162,4680,162
63,2022,2,Río Negro,159,5480,160
64,2022,2,Salta,203,50,203
65,2022,2,San Juan,100,2810,100
66,2022,2,San Luis,122,1820,122
67,2022,2,Santa Cruz,49,1980,49
68,2022,2,Santa Fe,879,1100,879
69,2022,2,Santiago Del Estero,118,20,118
70,2022,2,Tierra Del Fuego,53,3120,54
71,2022,2,Tucumán,254,300,255
72,2022,1,Buenos Aires,5,60,5
73,2022,1,Capital Federal,1,20,1
74,2022,1,Catamarca,62,10,62
75,2022,1,Chaco,144,50,144
76,2022,1,Chubut,171,9270,172
77,2022,1,Córdoba,1,740,1
78,2022,1,Corrientes,143,40,143
79,2022,1,Entre Ríos,268,220,268
80,2022,1,Formosa,55,0,55
81,2022,1,Jujuy,117,0,117
82,2022,1,La Pampa,110,1720,110
83,2022,1,La Rioja,84,40,84
84,2022,1,Mendoza,274,7860,275
85,2022,1,Misiones,172,0,172
86,2022,1,Neuquén,149,4710,150
87,2022,1,Río Negro,157,5530,157
88,2022,1,Salta,198,50,198
89,2022,1,San Juan,88,2900,88
90,2022,1,San Luis,120,1850,120
91,2022,1,Santa Cruz,49,2040,49
92,2022,1,Santa Fe,870,1150,870
93,2022,1,Santiago Del Estero,116,20,116
94,2022,1,Tierra Del Fuego,52,3130,53
95,2022,1,Tucumán,246,300,246
96,2021,4,Buenos Aires,5,60,5
97,2021,4,Capital Federal,1,20,1
98,2021,4,Catamarca,59,10,59
99,2021,4,Chaco,144,50,144
100,2021,4,Chubut,159,9440,160
101,2021,4,Córdoba,987,770,987
102,2021,4,Corrientes,136,40,136
103,2021,4,Entre Ríos,265,220,265
104,2021,4,Formosa,54,0,54
105,2021,4,Jujuy,114,0,114
106,2021,4,La Pampa,107,1730,107
107,2021,4,La Rioja,83,40,83
108,2021,4,Mendoza,267,8040,268
109,2021,4,Misiones,171,0,171
110,2021,4,Neuquén,147,4770,147
111,2021,4,Río Negro,153,5640,154
112,2021,4,Salta,199,60,199
113,2021,4,San Juan,80,2910,80
114,2021,4,San Luis,119,1870,119
115,2021,4,Santa Cruz,48,2100,48
116,2021,4,Santa Fe,866,1760,866
117,2021,4,Santiago Del Estero,116,20,116
118,2021,4,Tierra Del Fuego,52,3150,52
119,2021,4,Tucumán,239,300,239
120,2021,3,Buenos Aires,4,50,4
121,2021,3,Capital Federal,1,20,1
122,2021,3,Catamarca,56,10,56
123,2021,3,Chaco,140,30,140
124,2021,3,Chubut,155,8000,156
125,2021,3,Córdoba,947,620,947
