,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
0,BUENOS AIRES,25 de Mayo,25 de Mayo,874,454,0,3,0,852,0,706,698
1,BUENOS AIRES,25 de Mayo,Del Valle,181,0,0,0,10,1,0,0,192
2,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181,181
3,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,782,0,6,167,0,0,327,128
4,BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6,6
5,BUENOS AIRES,25 de Mayo,Ernestina,66,0,0,0,0,0,0,0,66
6,BUENOS AIRES,25 de Mayo,Pedernales,568,0,0,0,0,0,0,7,575
7,BUENOS AIRES,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19,19
8,BUENOS AIRES,9 de Julio,9 de Julio,431,335,82,623,83,1,0,831,1489
9,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),450,0,0,0,60,0,0,0,510
10,BUENOS AIRES,9 de Julio,Dudignac,0,0,1,0,0,0,0,463,464
11,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),199,0,0,2,2,0,0,0,203
12,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),0,0,0,118,0,0,0,42,160
13,BUENOS AIRES,9 de Julio,Patricios,81,0,0,0,0,0,0,0,81
14,BUENOS AIRES,Adolfo Alsina,Carhué,780,0,1,142,1,0,0,283,248
15,BUENOS AIRES,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14,406
16,BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,12,0,0,0,0,12
17,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,208,0,0,0,0,208
18,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,60,0,0,0,0,60
19,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),549,0,2,943,0,0,0,313,181
20,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,654,6,0,0,57,717
21,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,46,46
22,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14,14
23,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),457,0,6,1,0,0,0,8,472
24,BUENOS AIRES,Alberti,Mechita,285,0,0,0,0,0,0,0,285
25,BUENOS AIRES,Almirante Brown,Adrogué,214,93,59,1144,2,1,0,26,2104
26,BUENOS AIRES,Almirante Brown,Burzaco,142,1663,35,1133,40,2,0,310,2849
