,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo
0,2022,4,11,12,11,Oct-Dic
1,2022,3,11,12,11,Jul-Sept
2,2022,2,11,12,11,Abr-Jun
3,2022,1,11,13,11,Ene-Mar
4,2021,4,10,13,10,Oct-Dic
5,2021,3,10,10,10,Jul-Sept
6,2021,2,10,10,10,Abr-Jun
7,2021,1,10,10,10,Ene-Mar
8,2020,4,10,10,10,Oct-Dic
9,2020,3,9,10,9,Jul-Sept
10,2020,2,9,10,9,Abr-Jun
11,2020,1,9,10,9,Ene-Mar
12,2019,4,9,10,9,Oct-Dic
13,2019,3,9,22,9,Jul-Sept
14,2019,2,9,22,9,Abr-Jun
15,2019,1,9,22,9,Ene-Mar
16,2018,4,8,22,8,Oct-Dic
17,2018,3,8,27,8,Jul-Sept
18,2018,2,8,27,8,Abr-Jun
19,2018,1,8,27,8,Ene-Mar
20,2017,4,8,27,8,Oct-Dic
21,2017,3,8,28,8,Jul-Sept
22,2017,2,7,29,7,Abr-Jun
23,2017,1,7,29,7,Ene-Mar
24,2016,4,7,29,7,Oct-Dic
25,2016,3,7,29,7,Jul-Sept
26,2016,2,7,32,7,Abr-Jun
27,2016,1,7,33,7,Ene-Mar
28,2015,4,7,33,7,Oct-Dic
29,2015,3,7,33,7,Jul-Sept
30,2015,2,7,33,7,Abr-Jun
31,2015,1,7,38,7,Ene-Mar
32,2014,4,7,39,7,Oct-Dic
33,2014,3,7,36,7,Jul-Sept
34,2014,2,6,36,6,Abr-Jun
35,2014,1,6,36,6,Ene-Mar
